title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc,bpi_notes,bpi_avg,bpi_wr,bpi_coef,bpi_at_aaa,bpi_at_9444
A,a_amuro,A,1238,120.2,17.0,10.1736,1.2,93.0,191.0,2.0538,43.9,57.8,38.7,8.8,20.7,4.2,0.0,174.1,1238,1019.0,1171.93,1328.34,1423.68,1720.23,2026.69,1260.0,2220.0,2519.0,0.467188,12.7126,39.0497
A MINSTREL ～ ver.short-scape ～,a_minstr,X,1114,121.58,13.0,9.1066,0.8,114.0,114.0,1.0,60.0,61.1,44.4,5.8,29.4,2.3,24.3,227.3,1090,945.0,1524.61,1556.95,1567.38,1809.07,2185.42,1954.0,3646.0,3905.0,0.80493,-15.0,7.665
AA,aa_amuro,A,1788,115.42,23.6,15.3362,1.2,154.0,154.0,1.0,109.3,66.0,98.3,19.6,26.3,1.5,0.0,321.0,1788,1294.0,1358.02,1423.0,1476.04,1684.59,1993.78,1834.0,3278.0,3660.0,0.918326,-1.6705,19.2998
AA -rebuild-,aa_rebld,A,1806,113.19,24.4,15.7526,1.0,174.0,174.0,1.0,97.6,63.3,90.3,28.9,44.4,1.5,0.0,326.0,1806,1303.0,1488.78,1540.0,1568.81,1779.52,2097.66,1820.0,3137.0,3634.0,0.72865,11.0958,31.5011
ACTØ,act0,A,1532,120.65,18.6,12.6132,2.0,185.0,185.0,1.0,57.6,52.6,50.5,18.7,43.0,6.9,0.0,229.3,1532,1166.0,1341.9,1460.64,1514.82,1800.19,2339.06,1534.0,2661.0,3046.0,0.707656,13.7596,42.3736
Adularia,adularia,A,1404,110.67,17.6,12.6582,0.4,180.0,180.0,1.0,68.3,36.9,67.4,8.1,25.1,1.4,48.1,255.3,1359,1079.5,1392.25,1468.96,1499.99,1748.55,2173.01,1449.0,2546.0,2894.0,0.620347,8.8032,33.8822
AIR RAID FROM THA UNDAGROUND,airraid,X,1502,118.75,21.0,13.6422,1.0,180.0,180.0,1.0,71.8,49.2,58.7,97.1,134.3,2.4,0.0,413.5,1502,1151.0,1619.34,1655.68,1663.37,1931.75,2332.64,1523.0,2525.0,3035.0,0.741408,19.6491,39.9719
AIR RAID FROM THA UNDAGROUND†,airraidl,A,1502,118.75,21.0,13.6422,1.0,180.0,180.0,1.0,71.8,49.2,58.7,97.1,134.3,2.4,0.0,413.5,1502,1151.0,1619.34,1655.68,1663.37,1931.75,2332.64,1523.0,2525.0,3035.0,0.741408,19.6491,39.9719
AKASHIC BREAK,akashicb,A,1662,115.98,20.0,15.415,3.8,205.0,205.0,1.0,38.9,69.7,40.6,14.4,26.7,14.4,0.0,204.7,1662,1231.0,1371.23,1494.69,1545.55,1846.91,2401.13,1823.0,3159.0,3637.0,0.649437,13.4573,37.3241
ALBA-黎明-,alba,X,1670,122.91,20.4,13.4764,2.0,165.0,165.0,1.0,56.2,69.0,49.2,6.7,16.7,5.8,46.8,250.4,1614,1207.0,1558.43,1635.96,1671.74,1973.22,2627.44,,,,,,
ALBIDA,albida,A,1517,109.05,20.4,13.7036,2.6,185.0,185.0,1.0,48.0,63.1,46.4,9.0,25.2,12.0,0.0,203.7,1517,1158.5,1372.44,1461.88,1504.95,1750.21,2124.36,1530.0,2685.0,3052.0,0.698251,7.7084,33.1398
Almagest,almag_ra,A,1587,97.08,23.4,16.3443,2.0,178.0,178.0,1.0,94.9,48.0,96.3,25.9,47.5,5.3,11.8,329.7,1579,1189.5,1584.83,1655.85,1706.84,2020.63,2764.95,1629.0,2591.0,3225.0,0.941909,22.3001,45.542
ALTERNATOR,altnator,A,1907,118.14,22.4,15.9412,6.6,185.0,185.0,1.0,48.4,69.3,40.2,10.2,16.3,14.2,22.6,221.2,1854,1327.0,1551.74,1610.94,1638.0,1950.12,2510.71,1907.0,3282.0,3802.0,0.72965,12.813,35.5835
Always We Trust In You,alwayswe,A,1625,114.95,21.0,14.1096,4.2,190.0,190.0,1.0,50.2,56.4,47.2,4.8,16.7,12.8,10.9,199.0,1609,1204.5,1374.33,1493.16,1556.17,1843.48,2325.91,1625.0,2802.0,3235.0,0.729936,13.2538,38.1213
Amazing Mirage,amazingm,X,1682,114.61,20.8,14.5096,4.2,153.0,153.0,1.0,67.5,59.8,62.8,25.2,54.8,16.9,3.1,290.1,1678,1239.0,1431.01,1525.58,1572.92,1857.44,2438.67,1684.0,2872.0,3348.0,0.721386,17.192,42.1728
Amazing Mirage†,amazingl,A,1682,114.61,20.8,14.5096,4.2,153.0,153.0,1.0,67.5,59.8,62.8,25.2,54.8,16.9,3.1,290.1,1678,1239.0,1431.01,1525.58,1572.92,1857.44,2438.67,1684.0,2872.0,3348.0,0.721386,17.192,42.1728
Ambivalent Vermilia,ambiverm,A,2132,120.65,24.6,17.5488,4.0,185.0,185.0,1.0,83.6,69.9,82.6,38.0,52.8,8.4,0.0,335.3,2132,1466.0,1695.01,1759.86,1782.45,2071.3,2738.22,2132.0,3326.0,4212.0,0.851347,29.2471,53.1159
ANCHOR,anchor,A,1831,120.0,23.4,15.076,2.2,180.0,180.0,1.0,69.1,59.6,73.1,28.7,45.2,7.7,24.6,308.0,1796,1298.0,1513.17,1582.62,1610.64,1867.87,2391.91,1835.0,3122.0,3650.0,0.85139,12.7639,35.7238
Ancient Scapes,ancients,A,2166,121.43,24.8,17.6787,3.0,178.0,178.0,1.0,92.6,65.8,88.7,26.9,43.4,8.1,0.0,325.5,2166,1483.0,1388.45,1470.41,1504.42,1761.06,2207.63,1780.0,3100.0,3539.0,0.81679,8.4485,34.6406
Ancient Scapes†LEGGENDARIA,ancientl,A,2166,121.43,24.8,17.6787,3.0,178.0,178.0,1.0,92.6,65.8,88.7,26.9,43.4,8.1,0.0,325.5,2166,1483.0,1625.7,1674.48,1687.14,1963.88,2555.72,2198.0,3505.0,4351.0,0.862258,25.0662,48.5358
Angel's Ladder,angeladd,A,1800,120.77,20.6,14.8579,3.0,155.0,155.0,1.0,89.9,48.1,83.5,9.5,47.9,11.2,0.0,290.1,1800,1300.0,1432.98,1520.79,1566.98,1870.34,2491.66,1800.0,2953.0,3553.0,0.766053,27.2712,54.0328
Anisakis-somatic mutation type \-,anisakis,X,1341,132.32,17.2,10.0541,2.4,185.0,185.0,1.0,42.2,52.0,34.5,5.3,11.5,5.9,0.0,151.4,1341,1070.5,1646.54,1694.12,1707.67,1963.1,2457.78,1971.0,3251.0,3931.0,0.85379,15.2038,33.4743
AO-1,ao_1,A,1433,102.15,21.4,13.8272,5.4,195.0,195.0,1.0,26.8,53.0,18.8,3.8,10.5,24.9,20.6,158.4,1411,1105.5,1459.62,1540.71,1573.02,1883.24,2486.72,1443.0,2475.0,2868.0,0.670517,18.2334,44.5661
Apocalypse,apocalrf,A,1631,129.55,18.0,13.6084,1.8,165.0,165.0,1.0,78.4,43.5,73.2,22.0,38.4,6.0,8.8,270.3,1623,1211.5,1260.27,1373.45,1438.86,1708.45,2081.39,1814.0,3273.0,3617.0,0.715307,-9.498,27.2349
Aqvion,aqvion,A,1773,115.2,19.6,15.2621,3.4,175.0,175.0,1.0,77.5,60.5,72.4,18.6,32.8,10.0,32.6,304.4,1737,1268.5,1357.73,1448.99,1513.82,1744.51,2169.08,1773.0,3134.0,3538.0,0.796694,2.8179,26.3166
Arabian Rave Night,arabian,X,1459,118.75,16.8,12.1479,1.6,180.0,180.0,1.0,65.5,42.6,46.8,9.8,18.8,3.4,0.0,186.9,1459,1129.5,1424.07,1523.73,1573.6,1863.67,2448.17,1888.0,3194.0,3752.0,0.683476,21.0528,45.8681
Arca,arca,A,1602,125.84,19.4,12.6873,1.8,185.0,185.0,1.0,82.9,52.5,81.1,11.9,19.1,3.6,0.0,251.1,1602,1201.0,1337.34,1435.05,1484.11,1757.22,2106.92,1602.0,2836.0,3198.0,0.552981,6.9512,38.3167
Arkadia,arkadia,A,1873,117.33,21.6,15.9932,3.4,180.0,180.0,1.0,100.5,46.1,89.8,23.0,38.8,7.8,0.0,306.0,1873,1336.5,1464.18,1544.91,1594.88,1840.49,2248.34,1873.0,3147.0,3737.0,0.703865,17.8237,37.7768
Artist,artist,A,1870,116.36,23.0,15.9214,2.6,165.0,165.0,1.0,94.6,52.0,85.2,23.8,49.0,9.2,11.7,325.5,1856,1328.0,1556.29,1624.23,1651.27,1961.49,2555.36,1870.0,3021.0,3680.0,0.946028,23.9065,51.8492
ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),asian_vr,A,1752,115.2,19.0,15.1017,5.8,150.0,150.0,1.0,80.6,40.7,76.6,25.4,43.5,17.1,28.7,312.6,1711,1255.5,1444.41,1545.65,1606.9,1940.69,2568.88,1752.0,2781.0,3440.0,0.863578,30.6831,58.7807
B.O.D.Y.,b_o_d_y_,A,1690,110.06,19.2,15.1495,2.2,157.0,157.0,1.0,96.0,57.6,84.6,9.2,21.4,6.2,8.5,283.5,1678,1239.0,1451.42,1515.58,1540.32,1843.33,2449.28,1734.0,3009.0,3454.0,0.734128,11.0285,35.9551
B4U(BEMANI FOR YOU MIX),bemani4u,X,1669,120.0,19.0,13.7124,2.2,170.0,170.0,1.0,65.5,62.5,46.3,6.1,28.1,9.5,0.0,218.0,1669,1234.5,1620.04,1676.62,1700.04,1961.45,2480.22,2360.0,3741.0,4684.0,0.892734,22.5614,43.9275
B4U(BEMANI FOR YOU MIX)†,bemani4l,A,2130,120.0,24.2,17.5025,3.2,170.0,170.0,1.0,99.0,80.4,90.9,20.6,30.2,9.7,0.0,330.8,2130,1465.0,1620.04,1676.62,1700.04,1961.45,2480.22,2360.0,3741.0,4684.0,0.892734,22.5614,43.9275
Bad Encryption,badencry,A,1633,112.88,27.6,14.2584,6.0,200.0,200.0,1.0,54.1,67.4,61.3,26.5,30.8,19.4,10.1,269.6,1625,1212.5,1672.8,1739.65,1769.88,2062.28,2669.2,1633.0,2508.0,3231.0,0.80396,31.6856,53.9294
Bad Maniacs,bmaniacs,A,1641,119.38,24.4,13.64,2.4,195.0,195.0,1.0,68.6,79.0,64.7,14.7,24.7,7.3,0.0,259.0,1641,1220.5,1542.99,1599.42,1633.13,1867.78,2312.48,1656.0,2717.0,3303.0,0.743583,19.9769,38.8088
Be quiet,bequiet,X,1116,113.7,17.2,9.6912,2.4,150.0,150.0,1.0,43.3,37.6,39.8,10.3,45.1,8.9,3.1,188.1,1115,957.5,1540.38,1651.77,1695.39,2048.81,2597.28,1463.0,2281.0,2912.0,0.60661,35.1173,53.7284
BEAT PRISONER,btprison,A,1844,113.13,26.6,16.0737,3.0,155.0,155.0,1.0,63.5,82.8,63.4,21.4,45.2,12.1,83.2,371.6,1686,1243.0,1529.62,1586.46,1612.35,1896.49,2414.73,1844.0,3131.0,3661.0,0.93042,11.8723,35.6708
Beat Radiance,beatradi,X,1809,107.5,21.4,16.6556,2.6,192.0,192.0,1.0,10.0,102.1,10.1,3.5,8.2,8.3,0.0,142.2,1809,1304.5,1391.51,1462.54,1508.5,1744.89,2110.24,1809.0,3369.0,3613.0,0.706796,-15.0,12.8398
Beat Radiance†,beatradl,A,1809,107.5,21.4,16.6556,2.6,192.0,192.0,1.0,10.0,102.1,10.1,3.5,8.2,8.3,0.0,142.2,1809,1304.5,1391.51,1462.54,1508.5,1744.89,2110.24,1809.0,3369.0,3613.0,0.706796,-15.0,12.8398
BIGソムタム,big_smtm,A,1688,119.36,18.6,14.0267,4.8,187.0,187.0,1.0,17.4,74.6,19.3,7.0,19.7,12.0,52.8,202.8,1601,1200.5,1286.07,1399.07,1458.81,1745.17,2172.82,1688.0,3116.0,3373.0,0.68188,-15.0,16.7326
BIGWAVERS,bigwaver,A,1796,120.76,21.8,14.7273,4.6,177.0,177.0,1.0,66.9,63.6,61.2,12.2,22.1,10.1,22.3,258.4,1771,1285.5,1470.91,1542.64,1576.91,1847.91,2362.18,1796.0,3071.0,3583.0,0.652591,16.8203,38.9633
Binary Black Hole,binarybh,A,2000,120.08,24.4,16.4017,2.6,190.0,190.0,1.0,76.2,62.2,70.1,33.9,40.4,6.0,36.1,324.9,1948,1374.0,1695.13,1735.72,1743.88,2027.2,2581.67,2000.0,3253.0,3979.0,0.690561,26.3598,47.3275
BITTER CHOCOLATE STRIKER,bitchoco,A,1990,129.55,22.6,15.2077,2.2,165.0,165.0,1.0,89.3,82.5,96.0,62.5,17.8,7.6,0.0,355.7,1990,1395.0,1481.92,1537.08,1569.84,1808.62,2204.94,1990.0,3410.0,3972.0,0.821562,9.7879,28.9352
BLACK or WHITE?,blkwhite,A,2013,120.65,25.4,16.6017,1.8,185.0,185.0,1.0,79.1,70.9,68.7,23.5,48.3,3.3,45.6,339.4,1957,1378.5,1627.43,1656.37,1661.24,1924.03,2454.15,2013.0,3412.0,4019.0,0.642482,18.1881,38.3932
BLACK.by X-Cross Fade,blackbyx,A,1738,111.9,22.4,15.3464,9.6,163.0,163.0,1.0,14.1,56.4,15.5,9.2,31.0,101.8,0.0,228.0,1738,1269.0,1552.89,1643.47,1705.85,2035.8,2502.77,1738.0,2832.0,3464.0,0.744742,21.6157,40.9206
BLAZING_LAZER,bl_lazer,A,1752,116.94,19.2,14.8291,3.4,191.0,191.0,1.0,57.6,47.0,48.4,5.3,16.1,15.1,1.9,191.4,1750,1275.0,1364.01,1468.0,1536.22,1815.6,2416.22,1752.0,2994.0,3488.0,0.648653,19.0333,43.5604
BLUE DRAGON(雷龍RemixIIDX),bldragon,A,1653,113.7,23.6,14.3474,6.2,188.0,188.0,1.0,14.1,92.1,18.8,25.1,25.4,18.0,28.4,221.9,1643,1221.5,1492.89,1564.66,1610.55,1933.8,2501.97,1727.0,2911.0,3446.0,0.614469,21.5302,42.2941
BLUE MIRAGE,b_mirage,A,1311,114.35,21.4,11.3809,4.4,170.0,170.0,1.0,65.5,32.3,61.0,4.0,33.1,20.0,0.0,215.9,1311,1055.5,1477.56,1589.8,1667.35,1994.21,2652.99,1606.0,2320.0,3181.0,0.735625,38.4359,58.107
Blue Rain,bluerain,X,1149,110.1,19.2,10.3891,1.8,144.0,144.0,1.0,73.4,43.1,65.4,9.9,25.7,3.1,0.0,220.6,1149,974.5,1602.99,1635.98,1647.2,1858.22,2189.7,1702.0,2869.0,3392.0,0.811294,14.2768,34.8396
Blue Rain†,bluerail,A,1702,110.1,26.4,15.3855,1.8,144.0,144.0,1.0,103.9,75.5,108.6,36.7,40.3,2.4,0.0,367.4,1702,1251.0,1602.99,1635.98,1647.2,1858.22,2189.7,1702.0,2869.0,3392.0,0.811294,14.2768,34.8396
Blue Spring Express,blspring,A,1728,110.23,24.4,15.5279,4.6,172.0,172.0,1.0,76.2,53.6,69.1,17.6,41.8,12.5,0.0,270.8,1728,1264.0,1636.35,1677.85,1683.1,2011.06,2630.54,1728.0,2869.0,3415.0,0.698997,27.7106,54.5225
Boomy and The Boost,booboost,A,1769,122.84,21.0,14.2309,7.0,174.0,174.0,1.0,49.0,72.0,36.8,7.8,29.4,17.5,2.6,215.1,1764,1282.0,1544.32,1601.18,1622.04,1939.98,2471.84,1826.0,3155.0,3639.0,0.677989,14.0821,38.6143
Bow shock!!,bowshock,X,2176,125.09,25.2,17.2603,1.8,165.0,165.0,1.0,83.0,85.1,87.0,28.3,39.8,4.0,17.0,344.2,2159,1479.5,1653.33,1691.77,1705.56,1953.62,2529.7,2176.0,3695.0,4330.0,0.759695,16.0486,39.4594
Bring The Fire,brngfire,A,1734,121.59,19.6,14.0951,2.6,160.0,160.0,1.0,95.6,49.6,83.9,13.3,30.7,7.1,11.7,291.9,1718,1259.0,1475.69,1522.54,1544.69,1794.0,2203.18,1734.0,3039.0,3458.0,0.843864,4.908,27.0636
BroGamer,brogamer,X,1568,127.61,19.8,12.1797,3.8,207.0,207.0,1.0,8.0,60.7,7.6,4.4,7.9,24.4,0.0,113.0,1568,1184.0,1649.69,1715.45,1742.32,2085.66,2710.16,2383.0,3949.0,4730.0,0.881497,17.5186,40.6953
Broken,brokenrb,A,1598,124.86,21.6,12.7792,1.4,148.0,148.0,1.0,88.4,59.9,97.7,48.9,59.8,2.9,0.0,357.6,1598,1199.0,1369.36,1438.28,1485.06,1678.87,1919.61,1598.0,2844.0,3195.0,0.60767,-2.2393,27.0486
Broken Sword,brokensw,A,1895,124.59,25.8,15.04,1.4,160.0,160.0,1.0,92.9,69.0,89.1,26.3,43.1,2.1,0.0,322.5,1895,1347.5,1511.9,1544.72,1557.95,1753.63,2056.22,1887.0,3354.0,3766.0,0.86432,0.0,22.169
Burning Flame,brnflame,X,1938,114.91,21.4,16.7496,6.6,165.0,165.0,1.0,81.4,60.4,79.2,18.2,28.2,16.9,0.0,284.3,1938,1369.0,1450.63,1542.46,1593.38,1909.19,2486.0,1938.0,3180.0,3853.0,0.790635,21.1951,42.9271
CADENZA,cadenza,A,2357,130.5,24.0,17.9695,6.0,160.0,160.0,1.0,101.9,61.8,108.4,41.6,57.8,14.4,0.0,385.9,2357,1578.5,1598.75,1655.5,1689.55,1959.74,2604.91,2357.0,3769.0,4654.0,1.043245,20.0101,45.0187
Caldwell 99,caldwl99,X,1776,121.69,19.2,14.6529,5.8,142.0,142.0,1.0,77.6,54.5,64.6,9.8,25.1,29.8,31.6,293.0,1734,1267.0,1335.32,1514.66,1605.57,1965.09,2590.63,,,,,,
Candy Galy,candygal,A,1684,121.3,22.0,13.7393,3.0,184.0,184.0,1.0,58.9,64.7,51.8,9.7,21.9,5.1,0.0,212.1,1684,1242.0,1472.12,1515.87,1530.68,1765.03,2123.43,1798.0,3207.0,3593.0,0.623758,-3.9969,28.908
CaptivAte～浄化～,captive,X,1155,127.59,15.0,9.0189,2.0,160.0,160.0,1.0,26.1,55.3,22.5,9.7,20.1,10.4,0.0,144.1,1155,977.5,1520.11,1560.41,1573.92,1807.89,2281.19,,,,,,
Carmina,carmina,A,1946,128.0,26.2,15.536,3.2,195.0,195.0,1.0,79.3,53.5,73.2,17.2,52.6,13.8,35.6,325.2,1897,1348.5,1731.48,1785.15,1794.63,2136.79,2930.94,2000.0,3042.0,3936.0,0.808527,36.075,60.6429
Carry Me Away,carryme,A,1488,120.69,19.6,13.3712,4.2,175.0,175.0,1.0,59.5,53.8,47.0,14.8,31.1,10.9,3.7,220.8,1482,1141.0,1221.34,1357.82,1446.5,1729.89,2165.06,1613.0,2871.0,3221.0,0.619268,-2.5241,32.063
Catch Our Fire!,catchfir,A,1753,120.0,20.6,15.6054,3.2,190.0,190.0,1.0,67.3,64.2,57.2,7.2,19.3,8.5,0.0,223.7,1753,1276.5,1389.74,1482.07,1532.13,1786.16,2166.31,1885.0,3273.0,3761.0,0.622862,13.9975,38.3619
Caterpillar,caterpil,A,1510,120.09,19.0,12.4099,8.0,170.0,170.0,1.0,26.4,46.7,30.0,10.9,38.9,67.9,0.0,220.8,1510,1155.0,1326.17,1477.82,1552.55,1921.09,2488.56,1561.0,2609.0,3109.0,0.631475,24.2921,46.1791
Chaotoxin,chaotoxn,A,1705,120.0,20.6,14.0496,3.8,180.0,180.0,1.0,68.2,56.2,57.5,13.0,25.2,12.8,0.0,232.9,1705,1252.5,1390.83,1495.07,1550.27,1805.47,2285.37,1705.0,2983.0,3401.0,0.742065,7.5756,31.3867
ChaserXX,chaserxx,X,1505,123.43,16.6,12.0742,2.2,140.0,140.0,1.0,81.6,41.6,78.1,15.1,45.2,8.1,11.2,280.9,1479,1139.5,1617.8,1690.1,1706.62,2044.98,2753.28,2000.0,3209.0,3890.0,0.893061,33.2651,67.2957
CHRONO DIVER -NORNIR-,chrono_n,X,2065,118.14,23.0,17.2622,4.2,185.0,185.0,1.0,57.0,92.0,60.7,40.4,46.3,5.0,3.7,305.1,2061,1430.5,1645.72,1688.56,1701.57,1980.11,2694.2,2233.0,3795.0,4448.0,0.872635,11.391,32.3083
CHRONO DIVER -NORNIR-†,chrononl,A,2065,118.14,23.0,17.2622,4.2,185.0,185.0,1.0,57.0,92.0,60.7,40.4,46.3,5.0,3.7,305.1,2061,1430.5,1645.72,1688.56,1701.57,1980.11,2694.2,2233.0,3795.0,4448.0,0.872635,11.391,32.3083
Chrono Diver -PENDULUMs-,chrono_p,A,2222,121.22,27.0,18.2066,1.4,196.0,196.0,1.0,82.4,79.1,82.0,36.1,41.7,2.7,0.0,324.0,2222,1511.0,1724.64,1780.63,1800.12,2060.45,2645.92,2222.0,3506.0,4417.0,0.914269,20.9279,40.8988
